stamp_ns,time_gap_ms,go2_x_m,go2_y_m,go2_z_m,go2_yaw_rad,vo_x_m,vo_y_m,vo_z_m,vo_yaw_rad,position_difference_m,yaw_difference_rad
1785126491924572998,25.143666,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785126491957916504,2.319961,-6.986742008210581e-07,-1.2856200344821811e-05,1.9332788463069896e-05,0.0002798679837535626,6.156939827322033e-05,0.00041575746756207694,0.0011779043937791304,-9.788914690175935e-05,0.0012368812205749067,-0.00037775713065532195
1785126491991260010,2.171856,4.275265322032423e-06,-1.1556454084477668e-05,2.668522072271143e-05,0.00013912646722949752,0.00020847764200008023,0.0006725586765608352,5.752011156837085e-05,-0.0004185146902421226,0.000714606824143375,-0.00055764115747162
1785126492024603271,2.262878,-1.7397750492490023e-06,-8.676301064332179e-06,2.1854938486099527e-05,0.00025168281629930786,0.0008140314861522829,0.0012487969211962514,0.0012279125973196619,-0.0006235534923130454,0.001923875446003677,-0.0008752363086123533
1785126492057946289,2.223718,1.2292598961296548e-05,1.626086136733155e-05,2.813009782428591e-05,0.0005158584771924787,-0.0006174896770296395,-0.00023461609307502928,0.0005974054009004555,0.0002454004288371883,0.0008852340549905786,-0.00027045804835529037
1785126492091289551,2.262051,2.818909106788738e-05,1.033660657915092e-05,2.0236389024804718e-05,0.00027988370460816937,0.000663722743686132,-0.001271966953489441,-0.0002533568014679639,0.0008271181166329087,0.001457071953494022,0.0005472344120247394
1785126492124632324,2.31253,4.943931325240435e-06,-1.272355376132831e-05,4.095983465450732e-05,0.0005530592097573857,-7.481167662651842e-05,0.0002725013188836103,0.0010550913244092724,-0.00010808554981133933,0.001056492718142106,-0.000661144759568725
1785126492157975098,2.290531,2.2866174020008128e-05,-1.7962783269032728e-05,3.801238615856166e-05,0.0006911705223882862,0.00024077637489327961,1.8285671255851788e-05,4.777315728831706e-05,7.063331215213049e-05,0.00022112005506764787,-0.0006205372102361557
1785126492191317871,1.996496,1.758251160884328e-05,-4.93570421022815e-06,3.645688149061029e-05,0.0005142001767453376,0.0006835619885291944,0.00015514554147424956,0.0004105115878659203,-9.430820160119492e-05,0.000780430389119054,-0.0006085083783465325
1785126492224660400,2.394107,2.4550072778871014e-05,-4.545852483874156e-05,2.3185523427852086e-05,0.0008832102953091828,0.00018704110467171155,0.0004952356387625189,0.001235139320411164,-0.00024283233972223971,0.0013370061780038018,-0.0011260426350314227
1785126492258002930,2.451735,3.993255004192838e-05,-4.9115503411934344e-05,2.8665890590248393e-05,0.0007765625715504869,0.00018909200203305702,0.0008138008987833352,0.00031185314671984744,-0.00034279890350641753,0.0009203631247122699,-0.0011193614750569048
1785126492291345215,2.403498,3.324716978506756e-05,-5.566340835522503e-05,3.317660956016555e-05,0.0007296067013824433,0.0006687803911254094,0.0006886480521414902,0.0008906612964128935,-0.0001938740974706437,0.0013012232759372644,-0.0009234807988530869
1785126492324687500,2.453727,6.028744150588907e-05,-6.157634845244957e-05,3.937617979971864e-05,0.0010970363451695724,0.00035765946686804626,-1.2327179982030428e-05,-0.0012116377983397038,0.00011616741362310193,0.0012868145070534611,-0.0009808689315464706
