stamp_ns,elapsed_sec,time_gap_ms,go2_x_m,go2_y_m,go2_yaw_deg,vo_x_m,vo_y_m,vo_yaw_deg,xy_difference_m,yaw_difference_deg
1785126491924572998,0.0,25.143666,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785126491957916504,0.033343506,2.319961,5.475735357829878e-07,-1.2622946762358987e-05,0.016094518589643562,6.093834466669571e-05,0.00041542107903143273,-0.0055983541626516125,0.0004322831632802075,-0.021692872752295173
1785126491991260010,0.066687012,2.171856,5.980018292242682e-06,-1.1234938984652352e-05,0.00799585708558083,0.00020844669676562481,0.000672542223245297,-0.023979870952428664,0.0007131226847319374,-0.03197572803800949
1785126492024603271,0.100030273,2.262878,-3.33498279282223e-07,-8.413040221274288e-06,0.014479698908342288,0.0008133734087001672,0.0012484462179656733,-0.035715670550546974,0.001497268888795966,-0.050195369458889263
1785126492057946289,0.133373291,2.223718,1.4051917076298958e-05,1.659773113733675e-05,0.029662995413781562,-0.0006178095713524319,-0.0002347866832608099,0.014062907202254001,0.0006800316642345931,-0.015600088211527561
1785126492091289551,0.166716553,2.262051,2.941624788739326e-05,1.057904415361642e-05,0.016037657531008002,0.0006638585614952495,-0.0012718945510786475,0.04738948653279928,0.0014308233894384235,0.03135182900179129
1785126492124632324,0.200059326,2.31253,7.560056439046865e-06,-1.2230414037110215e-05,0.03177868321974037,-7.537690010563546e-05,0.00027220000765344505,-0.0061839293060830195,0.00029627555340250674,-0.037962612525823385
1785126492157975098,0.2334021,2.290531,2.5261434175068986e-05,-1.7504685193244713e-05,0.03971144745129717,0.0002407507463706098,1.827202803435015e-05,0.004045082198161128,0.00021843904614303006,-0.03566636525313604
1785126492191317871,0.266744873,1.996496,1.9879200022415742e-05,-4.4972395546326904e-06,0.0295305071497716,0.0006833419634036069,0.00015502830625306445,-0.005398171920790468,0.0006823717741514885,-0.03492867907056206
1785126492224660400,0.300087402,2.394107,2.6015882844443425e-05,-4.517661814419311e-05,0.05074047689870135,0.0001863793612338614,0.0004948829025385282,-0.013902554448093558,0.0005633655394867563,-0.0646430313467949
1785126492258002930,0.333429932,2.451735,4.171982508546834e-05,-4.8767474191118564e-05,0.04456690043852693,0.00018892479656253713,0.00081371181038081,-0.01963810179040651,0.0008749513243279711,-0.06420500222893342
1785126492291345215,0.366772217,2.403498,3.534126559114142e-05,-5.526070027762449e-05,0.041876493489023045,0.0006683030793639418,0.0006883936798661798,-0.011098515089272357,0.0009765564473196718,-0.05297500857829541
1785126492324687500,0.400114502,2.453727,6.27268634381273e-05,-6.109871216856714e-05,0.06294451870069263,0.0003583084689594789,-1.1981174726578964e-05,0.006641024784500795,0.00029963480773592547,-0.05630349391619184
1785126492358029541,0.433456543,2.387842,6.534691696191458e-05,-4.05972083746817e-05,0.04663842191890946,-0.0003848199270309434,-0.0006080163892863762,0.009568234608794855,0.0007243029161179654,-0.037070187310114605
1785126492391371582,0.466798584,2.441166,3.9749923212872485e-05,-8.34398675249065e-05,0.06211396870045052,-0.00015594545175626407,0.0015417255515104964,-0.04751792856340867,0.0016369054093052621,-0.1096318972638592
1785126492424713379,0.500140381,2.423197,7.707529064340218e-05,-9.302056212607975e-05,0.07692528460837234,0.0002142166869931812,0.00021067356892080395,0.00310317208543639,0.0003332234803027676,-0.07382211252293595
1785126492458055176,0.533482178,2.35516,8.208288364411012e-05,-5.875853081604506e-05,0.059393613651882664,0.0002922296845640118,0.0009825376722393283,-0.026413456096118067,0.001062289725279505,-0.08580706974800073
1785126492491396729,0.566823731,2.458779,9.370817723345972e-05,-5.608672310249635e-05,0.07444562985327309,0.00036008102245796496,-0.00012202326532652293,0.017485771035060393,0.00027441231800606015,-0.05695985881821271
1785126492524738281,0.600165283,2.364271,0.00011914250998614067,-3.6416881168819604e-05,0.0743834815179625,0.0002978407045901312,0.0002076480179659576,-0.005127576155533423,0.0003024908589435301,-0.07951105767349591
1785126492558079590,0.633506592,2.492441,8.431787276034488e-05,-5.945459666183836e-05,0.07390010341769163,0.0004781227255634154,0.0006599121817764524,-0.024367914848547625,0.000820104154368171,-0.09826801826623925
1785126492591420898,0.6668479,2.391013,7.6540488188306e-05,-7.214540204053308e-05,0.0952681431121981,-8.578756877185746e-05,-0.00032924957252689074,0.019489861125603528,0.00030406077115922094,-0.07577828198659457
1785126492624761963,0.700188965,2.497721,7.18527012823899e-05,-8.786006124888521e-05,0.08704799138571055,-0.00013982643938836194,0.00023133675318988978,-0.0036427326375374006,0.00038300739541550594,-0.09069072402324795
1785126492658103027,0.733530029,6.119309,5.7446235636780574e-05,-9.376167265130962e-05,0.08904613143193203,0.0003866855255285476,0.000651021276877875,-0.01728413838153394,0.0008143096167415849,-0.10633026981346598
1785126492691443848,0.76687085,2.571177,8.715726562766886e-05,-9.607837156841731e-05,0.10256699849192501,0.00015870230073530776,0.0015291328111123152,-0.039353450830442914,0.0016267851979776121,-0.14192044932236791
1785126492724784668,0.80021167,2.457578,9.899021875359746e-05,-0.00010225189623295899,0.09334663106344028,0.0004476706521719058,-0.0004818488917854179,0.017190463463981932,0.0005154337238493741,-0.07615616759945835
1785126492758125244,0.833552246,2.445779,9.043658396466888e-05,-0.00010332173478232019,0.10938449985330224,0.0008533381872550512,0.0016093107139612149,-0.04291664327327682,0.001874867664874594,-0.15230114312657908
1785126492791466309,0.866893311,2.533175,9.690849718208312e-05,-0.00011260964412552542,0.11231806085126127,0.0005456063875249981,-0.0004690097928696384,0.017101574292342055,0.0005730190771894147,-0.09521648655891922
1785126492824810547,0.900237549,2.727217,8.605972386593044e-05,-0.0001103563394014087,0.10027787857692969,5.898699402444456e-06,-0.00029439818048791473,0.005546077072138923,0.000200741597865381,-0.09473180150479077
1785126492858154785,0.933581787,2.59987,8.964470594910489e-05,-0.00011580535878052565,0.12629266018179314,9.214076537563984e-05,0.0009918990855870536,-0.02317203509667929,0.0011077072566271057,-0.14946469527847245
1785126492891498535,0.966925537,2.665155,9.783366515704682e-05,-0.00011666241561324078,0.12060528623569082,-0.00041703653505699363,-0.0005364765899812071,0.019462543000043613,0.0006643306887903819,-0.1011427432356472
1785126492924842529,1.000269531,2.693729,8.271368812229464e-05,-0.00012483523448374967,0.11801787916860836,-0.0005928991394171977,0.0005492769486917694,-0.01976167915728798,0.0009544002976956641,-0.13777955832589633
1785126492958186279,1.033613281,2.58926,0.00010752004941500525,-0.0001363041888081781,0.13941149344280832,-8.061948321880866e-05,0.0007118115210374855,-0.01639586542688379,0.0008687328363925723,-0.1558073588696921
1785126492991529785,1.066956787,2.665506,0.00012780842265021518,-0.00011137033185041532,0.12868568032523484,0.0005618168961729627,-0.00032938443777283535,0.006535031152224079,0.00048568869193208277,-0.12215064917301077
1785126493024873291,1.100300293,2.717434,0.00011998025529866979,-0.00012030043337161539,0.13979257204279275,0.00037365656979865204,0.0012161112403608072,-0.03395749284280749,0.0013602749112685232,-0.17375006488560027
1785126493058216797,1.133643799,2.617727,0.00013489449327190334,-0.00011799346904184084,0.15411027968544266,-0.00014810220941287552,0.0012651074101808994,-0.034861737104648335,0.0014117560610237075,-0.188972016790091
1785126493091560059,1.166987061,2.665596,0.00012243341050662676,-0.00012158588595863546,0.14071394681707017,-4.923965431533233e-05,-0.0005932415341710158,0.01811109534068903,0.0005019269784301351,-0.12260285147638114
1785126493124903076,1.200330078,2.676027,0.0001112527221673741,-0.00012545010254060048,0.15212742315494254,0.00014285491315717041,-0.0004035368834658666,0.01770928630686979,0.0002798766803446342,-0.13441813684807274
1785126493158246094,1.233673096,2.137142,0.00012535859999163816,-0.00013812753814192188,0.15268337408354857,0.0005966772055358806,0.0010232709698695388,-0.02029412568104008,0.001253390490766312,-0.17297749976458865
1785126493191589111,1.267016113,2.75554,0.00013720724405866616,-0.00013076796661437497,0.14677309620399734,0.0007788279886647853,0.00015365707217108624,0.0011195358719274938,0.0007018367207527844,-0.14565356033206983
1785126493224931885,1.300358887,2.523733,0.00015064673047700806,-0.0001563656617974175,0.16453123029609493,-0.0003385254252491318,-2.1205743577265774e-06,0.010734839723799317,0.0005129141691716429,-0.15379639057229558
1785126493258274658,1.33370166,2.438791,0.00016855679350523877,-0.00014589698223856773,0.1540713687013043,-5.1215438668276396e-05,-0.0003978882255937395,0.011339911224682397,0.0003343642037692056,-0.14273145747662191
1785126493291617188,1.36704419,2.693352,0.00014582928069005403,-0.00014382944878830732,0.15828522305820553,0.00048719808708535644,0.0007696360586907574,-0.021270251592676946,0.0009751676242235172,-0.17955547465088245
1785126493324959473,1.400386475,0.567337,0.00016533831411382125,-0.00017529413300247518,0.17608418143016238,0.0008226124328818358,0.0011046023881865145,-0.020696056517038715,0.001438799628910832,-0.19678023794720112
1785126493358301758,1.43372876,0.592447,0.00015492877922060184,-0.00018341690526137996,0.16708015082673297,0.0001946405289584147,-0.0009357745644449632,0.0331148009953252,0.0007534049843208097,-0.13396534983140776
1785126493391644043,1.467071045,1.012856,0.00016470343916837098,-0.00018137195178626847,0.18489174550714785,0.0004810168727069592,0.0013182557542935128,-0.03244980879411843,0.0015326243652895115,-0.21734155430126628
1785126493424986084,1.500413086,0.742571,0.00020296521366301043,-0.00016537808560490377,0.18895173394473527,0.00024728403693771386,0.00046775533194299234,-0.009093303071829609,0.0006346826628420955,-0.1980450370165649
1785126493458328125,1.533755127,0.462511,0.00019211329236122835,-0.0001355420518707259,0.17360255139254513,8.432608778659062e-05,-0.0008300751653240626,0.02407122084311449,0.0007028473000255462,-0.14953133054943063
1785126493491669922,1.567096924,6.050043,0.00018488388896776138,-0.0001282230528223325,0.18669872867679244,0.0005269737895754184,0.0008888570084600054,-0.023162827375307768,0.0010730691269232571,-0.2098615560521002
1785126493525011475,1.600438477,0.411909,0.00020155975896542677,-0.00015088158272826753,0.1889199374419424,0.0006039880233895849,0.00017856849373739286,-0.0024522825157817095,0.0005200825519959977,-0.1913722199577241
1785126493558353271,1.633780273,0.577222,0.00019872333630930022,-0.00015861658103298143,0.19670293395962835,1.886321811698203e-05,0.00035698123134785654,-0.011375726055802806,0.0005460684629678411,-0.20807866001543115
1785126493591694580,1.667121582,0.476708,0.00021214769997028813,-0.00016028881621045127,0.21318603501608988,-0.0001614874465749394,0.00046104984266253854,-0.0001587100108734585,0.0007250275524033271,-0.21334474502696332
1785126493625036133,1.700463135,0.20262,0.00023423243796330344,-0.0001433715487521757,0.1981596416937111,2.9722773777960245e-05,9.614954021610854e-05,-0.007750983809082598,0.00031495167058733723,-0.2059106255027937
1785126493658377197,1.733804199,0.506947,0.000246370690402872,-0.00012706697348094321,0.21019591818139988,-0.00022291974606007637,0.000509627010235519,-0.015481421650234499,0.000790956852588258,-0.22567733983163438
1785126493691718262,1.767145264,0.52231,0.000247601807024023,-0.000159661165364748,0.224382796011476,-0.0003385205527370502,0.0013825279776296323,-0.03260471861485071,0.0016498141632867718,-0.25698751462632674
1785126493725059326,1.800486328,0.356238,0.0002365464090637228,-0.00013132827105713472,0.20875335332760853,-1.3112464745930824e-05,0.00014579180446618482,-0.00015765111286584343,0.00037299475804621556,-0.20891100444047436
1785126493758400146,1.833827148,0.463876,0.00023109764781737465,-0.00013108069668457472,0.2214188705945775,0.0008803808514258921,0.0015661828716501934,-0.04184207828959536,0.0018172155345155428,-0.26326094888417284
1785126493791741455,1.867168457,0.525725,0.00023800184515748127,-0.00012085755217899899,0.21955426609973736,-0.0002834626337737193,-0.0008980376109146762,0.03239015008415142,0.0009359134823707688,-0.18716411601558594
1785126493825085938,1.90051294,0.50143,0.00020727929029012093,-0.00013433946821840939,0.21822100170584624,0.0005201428492474241,0.0010185268313277465,-0.027195863933993272,0.0011945644859749835,-0.2454168656398395
1785126493858430176,1.933857178,0.356026,0.0002243971793119881,-0.00014531662551331873,0.23800173049918313,-0.00047456842220721,0.0014540202070125413,-0.040723594772502265,0.0017454028807071867,-0.2787253252716854
1785126493891774414,1.967201416,0.254252,0.0002422053325339733,-0.00012364896544859408,0.22487346386832108,-0.00021098466877272069,3.8286269813940686e-05,-0.005431487914024762,0.0004812527378663874,-0.23030495178234586
1785126493925118408,2.00054541,0.298634,0.00021876780439999965,-0.00014339249283394195,0.22772669258624084,0.00046093948149901904,0.0011245057333941026,-0.03160522847581022,0.0012908187453167749,-0.25933192106205105
1785126493958462158,2.03388916,0.315604,0.00023274664044366602,-0.0001372457026003224,0.24392185007305117,0.0002613167636880414,9.627118900037312e-05,0.009279570134474585,0.00023525813610808402,-0.2346422799385766
1785126493991805908,2.06723291,3.176471,0.0002222225269537615,-0.00012564553906485246,0.23400206319198152,0.0002947616446860969,4.026429720571129e-05,-0.0040770508185356,0.00018107456301952213,-0.23807911401051715
1785126494025149658,2.10057666,3.052452,0.0001941022200435958,-0.0001381306960472561,0.2433339654211751,0.00010954356800341167,0.0017825138273248472,-0.051307434002531495,0.001922505019705828,-0.29464139942370665
1785126494058493164,2.133920166,3.054073,0.00021235204014262584,-0.00013879338305734052,0.25013850502917984,0.00011411789448481448,0.00015598672798252687,-0.0005322647860487822,0.00031071733333980044,-0.2506707698152287
1785126494091836670,2.167263672,3.101232,0.0002046071901117043,-0.0001434943614118787,0.24535923287319591,0.0006934748494436324,1.1033262622621428e-05,0.00322124578100933,0.0005127088598126874,-0.2421379870921866
1785126494125179932,2.200606934,3.093788,0.00019215404059358756,-0.0001868574746784307,0.2638782486943641,0.0002657945324568759,0.0001142960233728327,0.006745801654041011,0.0003100263721530466,-0.25713244704032306
1785126494158523193,2.233950195,3.098741,0.00020443573085025937,-0.00016504398775956424,0.2608441151764476,-0.00030704231827815496,-0.0005514221896955476,0.020899666455393925,0.0006410131899356612,-0.23994444872105372
1785126494191866211,2.267293213,3.185705,0.00018293145794482605,-0.00018383720930809335,0.25675033000441316,0.00017697817805041954,0.0015461598628146447,-0.04504515941727779,0.001730007315329836,-0.30179548942169093
1785126494225209229,2.300636231,3.102677,0.0002091390938403277,-0.00017739216680568004,0.2733504113024594,0.00039998234702868325,0.0006631061940155174,-0.013215674561594644,0.0008618924769544253,-0.2865660858640541
1785126494258552002,2.333979004,3.164123,0.0002130702342922072,-0.00016341799564755977,0.2646609479023787,9.490699295453941e-05,0.0004008691797925658,-0.01809714422039373,0.0005765262942569219,-0.2827580921227724
1785126494291894775,2.367321777,3.151899,0.00020379165831855038,-0.00016857870617338183,0.2722274442299148,-0.0003524475556175844,0.0010707798664784038,-0.03453391719748088,0.0013584593239128512,-0.3067613614273957
1785126494325237549,2.400664551,3.244102,0.00023264206123826083,-0.00015293042457435003,0.27893830441153195,4.593482157275854e-06,9.37274098312827e-06,0.007687729736418625,0.00027990797053823683,-0.2712505746751133
1785126494358580078,2.43400708,3.121961,0.0002526892433579055,-0.00013725118386835033,0.26477006623590643,-0.00015447317175574225,-0.0003078799836250209,0.010308723409457342,0.00044146961343628213,-0.2544613428264491
1785126494391922363,2.467349365,3.191026,0.00025000922584435394,-0.00014754209217238227,0.28085356795073013,0.0005800011347053207,0.0001878014503121559,0.0023294460058570937,0.00047047842819813096,-0.2785241219448731
1785126494425264648,2.50069165,3.108457,0.0002410063177059419,-0.00013270380639390892,0.28297282280939834,0.00017948965219573968,0.0007711589715720228,-0.026416948816201054,0.0009059537634602471,-0.3093897716255994
1785126494458606689,2.534033691,3.255956,0.00022884742278769224,-0.00014828492092145085,0.2746244677618335,-0.00013253904066137318,0.00019698004867342778,-0.009530205997381627,0.0004998080383442979,-0.28415467375921516
1785126494491948730,2.567375732,3.28663,0.00019984966177908096,-0.00015174006435343424,0.2910920879477562,0.00012681719127893628,0.00023681284576067884,5.790470437065111e-06,0.0003953569345610376,-0.2910862974773192
1785126494525290771,2.600717773,3.304191,0.00020816607423380603,-0.00014338485890117456,0.28096348755768386,0.00016299637235909725,-0.0008491149779699518,0.029504776123493958,0.0007071741673225065,-0.2514587114341899
1785126494558632568,2.63405957,3.291705,0.00021031534650391083,-0.00012394593222754454,0.2834916806972955,0.0005850397001389844,0.0006265340656088108,-0.01068116541346836,0.0008388316686676055,-0.29417284611076383
