stamp_ns,time_gap_ms,go2_x_m,go2_y_m,go2_z_m,go2_yaw_rad,vo_x_m,vo_y_m,vo_z_m,vo_yaw_rad,position_difference_m,yaw_difference_rad
1785119631167083008,30.554049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785119631200424072,2.779106,-2.2880417289814623e-06,2.617032766813751e-05,-9.782551767887044e-06,3.381224502519262e-05,0.0002729793956637412,-0.00031476412395714976,-0.0015019802249770918,0.0003890203881699249,0.0015552049248651306,0.0003552081431447323
1785119631233765137,2.555335,-9.435617697787683e-06,2.1768609633398283e-05,3.1028824202750296e-06,-0.00019127411568227155,-0.00010222297132470414,-0.00031915322282872284,0.00036001601905011473,0.00020647382257750883,0.0005022192508669571,0.00039774793825978036
1785119631267106201,2.537082,4.583879699079306e-06,1.0384055544106946e-05,4.9782984762672495e-05,-9.725419404692068e-05,0.0005936102993086103,-0.0010661084468269254,-0.0006711812031867163,0.00047974883078611086,0.001423227877384571,0.0005770030248330316
1785119631300446777,2.623744,3.728463411588477e-05,4.135376719921465e-05,-6.03655099846936e-05,3.371210477588468e-05,0.0007062978234751121,-0.0016703187222523513,-0.0012278707281584982,0.0007772802882903601,0.002177261994603541,0.0007435681835144754
1785119631333787598,2.537785,1.9783574040151822e-05,2.3562330775403513e-05,-8.73800898365708e-05,-9.639744906916248e-05,0.0007428160944367956,-0.00012182014421679677,-0.002247064500742206,9.208759007306966e-05,0.0022821369030570455,0.00018848503914223213
1785119631367128174,2.598937,3.6161008873077664e-06,1.734308072278676e-05,4.1567122377392776e-05,0.00011211208935899968,0.00018920852046009514,-0.0015120477338983395,-0.00014060165445361027,0.0006861689762425356,0.0015513433769808853,0.0005740568868835358
1785119631400468506,2.474605,2.4350713633375293e-05,2.3819474775809023e-05,0.00017903284980429657,-7.88107538807706e-05,0.0002781694671638537,-0.0017604163891236162,0.0003203318804326315,0.000842145469134971,0.0018077297900198472,0.0009209562230157415
1785119631433808838,2.556027,1.743151521742478e-05,4.574944747242048e-05,0.00021494781546803316,-0.00024289070813805804,0.0004198007287077373,-0.0019537576535227238,-0.0038470184702957626,0.0006021268931640984,0.00454527224020482,0.0008450176013021564
1785119631467148926,2.507756,1.7700252881162398e-05,4.495473261504875e-05,0.00013412182322519145,0.00016794589701109614,-0.00047526057925212237,-0.0005043825260390827,-2.2463286298307756e-05,0.00034045221463397497,0.0007545201801725803,0.00017250631762287882
1785119631500489014,2.665002,8.8580843807307e-06,2.15929936536055e-05,-2.6035235848561845e-05,-5.436210690292078e-05,-8.39593883298211e-05,-0.00035588002581913485,0.0004641900399190589,0.0002950126292242136,0.0006256371030171418,0.0003493747361271344
1785119631533828857,2.450798,1.249215702858848e-05,4.472670291650366e-05,-0.00010224787258269013,-4.8739016032267984e-05,-0.00045636087676432195,0.00014472062855067495,0.00027406711437605536,5.4718593113220654e-05,0.0006094546101805359,0.00010345760914548862
1785119631567168945,2.452594,3.988959680774861e-05,4.8652041181534644e-05,-0.00017550250626237007,0.0001350716161433671,0.001173470745402315,0.00018132253510729326,-0.0008181806620469545,0.00033616071153645677,0.0013098255198041287,0.00020108909539308967
1785119631600512939,2.424736,3.505854082606977e-05,2.338084101519442e-05,-0.0001645335953169989,-0.00017706084335154763,0.0004374394465996189,-0.0015681212862975137,0.0005488441266712602,0.0005342360777667592,0.0017898874793687942,0.0007112969211183068
1785119631633856689,2.330602,2.8371649391980273e-05,4.5342218428703124e-05,-0.0001441169490771809,-5.43577295869086e-05,-0.0005663512332100201,-1.5736727849341595e-05,0.0006218684029461976,9.389720687604783e-05,0.000971678704245003,0.00014825493646295642
1785119631667200439,2.37356,1.929901480250126e-05,4.382880977633721e-05,-0.0001814765830301639,3.542215604137398e-05,-0.000662060701349518,0.00013641240192363156,0.0004098591207055389,0.00014028583166945556,0.0009069182426449783,0.00010486367562808157
1785119631700543945,2.362878,-3.133266473696593e-05,2.0192677759987336e-05,-0.00011030800137985386,-0.00015895560799342396,-7.716742810121332e-05,-0.0003791919343629616,-0.0005803869910908931,0.00014279243097305562,0.0006185330633854639,0.0003017480389664795
1785119631733887451,2.362211,-4.9714360062346894e-05,4.649984537912644e-05,2.3261740271606e-05,0.00012891308093929124,-4.492700354345771e-05,-0.0004240366170954702,0.0006180724567652519,0.0003775021922785901,0.0007584373868396988,0.0002485891113392989
1785119631767230713,2.352489,-4.233269455402165e-05,2.49238065967216e-05,2.6526331973235837e-05,-9.995262644071073e-05,-0.0005595926287665479,-0.00024336786990563242,0.0013998214456783064,0.00024428575123043166,0.0014918035167367765,0.00034423837767114237
1785119631800573975,2.527541,-5.565282853340375e-05,2.442711047814619e-05,6.782086558981723e-05,-0.00014843524297751404,-8.248455721779647e-05,-8.508621726193955e-05,-0.0005115107823549504,4.631807504098636e-05,0.0005902018882783251,0.00019475331801850038
1785119631833916992,2.359515,-3.303243061426333e-05,6.990172781706502e-05,1.0824795949551574e-05,6.355257957690325e-05,-0.0005367807222711795,-0.0010556978697649835,0.0011424790902845852,0.0005193870836405132,0.0016737318295686006,0.00045583450406360993
1785119631867259766,2.204131,-9.397518068406556e-06,6.249085186691656e-05,-1.3021080030882444e-05,-0.00016176848554063565,0.00017790671181409944,-0.00037625947699125876,-0.00043209978186295407,0.00018085269747453308,0.0006349895148223236,0.00034262118301516876
1785119631900602783,2.305995,-4.593607750273243e-05,3.189754188167988e-05,-0.00010276353949447938,-6.0590749504531736e-05,-0.00051140127435288,-0.0002486031590107904,0.0002526737315664076,8.421370848847659e-05,0.0006493644172104937,0.00014480445799300832
1785119631933945313,2.273163,-2.9818452789676807e-05,7.423489508813749e-05,-5.5792885238427665e-06,8.529169030483556e-05,-0.0003659593120050278,-0.002900210134491618,0.0012588219506191594,0.001234407650414491,0.0032494652490482343,0.0011491159601096554
1785119631967287842,2.303513,-2.3878278830079052e-05,5.628574785055153e-05,-5.740035098591448e-05,-0.0002668099909801604,0.00021843505920915405,-0.0004152578512866386,0.0006818456413970571,0.00015566505169685793,0.0009096998169359249,0.00042247504267701834
1785119632000630371,2.219661,-3.835076006705051e-05,7.666890006798651e-05,-0.00012945181138524254,-9.586086364736572e-05,-0.0009838313370943528,0.0005780125441867186,0.00020421901624243844,-0.00017672951382968817,0.0011209884888989147,-8.086865018232245e-05
1785119632033972656,2.34896,-1.4270078360155828e-05,9.832769116836603e-05,-0.00019910089369746528,-4.898520023647263e-06,0.0007432583605427651,-0.001121865005358873,-0.002303428483349638,0.0005813399193776197,0.0025477272532546404,0.0005862384394012669
1785119632067314941,2.240795,-3.7160572006727184e-05,7.588315280683868e-05,-0.00020913794078810126,-0.00016598558403882254,-0.00010966216229374905,-0.0004937349206445912,0.0006140977063508635,0.00022074085443651482,0.0010037121902801498,0.00038672643847533736
1785119632100656982,2.211074,-1.527787960543657e-05,9.124492768998376e-05,-0.0002858142988435275,0.0001055661068845842,-0.00020853366872509348,-0.0010073990847375624,1.4422091172259861e-06,0.0005414114170859924,0.001151903974920204,0.00043584531020140815
1785119632133999023,2.161804,-1.8374722297733293e-05,7.456416685502645e-05,-0.00034274583543759794,-0.00020413413207489962,0.00047283935056033626,-0.0006924994798567659,-0.00042597677549588393,0.00031731208828611484,0.0009146612995331072,0.0005214462203610144
1785119632167340820,2.168806,-2.720094390347357e-05,7.680485578550947e-05,-0.0002570669702287362,-2.0245831465372597e-05,0.0005336331693869184,-0.0001196497800700188,-2.4666957469811112e-05,0.00017933942558018506,0.0006380745195584109,0.0001995852570455577
1785119632200682617,2.15578,-7.866689561575534e-06,9.82804794705968e-05,-9.165167529130727e-05,0.0001608415569505177,-0.0002912701589584748,-0.0008344494088593658,0.0006138765680941871,0.0005410982013412211,0.0012033589129037292,0.0003802566443907034
1785119632234024170,2.207372,7.171280431408925e-08,7.945785682843624e-05,5.4427107636249136e-05,-0.0001751505872372615,-5.88349985612252e-06,-0.0005990179873273219,0.0001012882786540847,0.0002687476244704143,0.0006801183022165058,0.00044389821170767583
1785119632267365479,2.185774,4.47080894646286e-06,9.414861786066497e-05,0.00010837791238244826,-9.439157207004578e-06,0.00040899735271867596,0.000824634440328639,-0.0020368636944180733,-0.00013305137069768674,0.002302023634325045,-0.00012361221349068216
1785119632300706787,2.690606,9.995577443060333e-06,0.00013308294701503968,6.0819560759711194e-06,7.982079751741794e-05,-0.00014508603720665464,-0.0032799319608887868,2.9982130149418883e-05,0.0012324306712107797,0.003416620009175277,0.0011526098736933618
1785119632334048096,2.318534,-1.9030431693814853e-05,0.00010486209081084283,-6.692343759958399e-05,-0.0002211373361582995,0.0007981411006711186,-3.939576075352299e-05,-0.0024901185788379072,0.00011822598794923911,0.0025613383871653187,0.0003393633241075387
1785119632367389160,0.271339,-1.5597316886686498e-05,0.00010972053903419688,-0.00012415382005382265,1.1675199797186492e-05,0.00021344400903397615,-0.0005017824313082856,-0.0012129743992364281,0.00030390725494008653,0.001269616503267313,0.00029223205514290003
1785119632400730225,1.133319,-5.2247778687376845e-06,0.00012846066272392785,-4.5157393627796036e-05,6.138623184615523e-05,0.0007765807740093409,-0.0004555403820059116,0.00029283720028211284,0.00026403590200321146,0.001032723335025047,0.00020264967015705626
1785119632434071045,1.141553,-2.872913046897433e-05,0.00010412195650694525,-0.00010367627847635724,-2.9904194841733297e-05,-0.00028246016360229686,-0.0006175654867018868,-0.0006374221661795683,0.0001962285430430369,0.0009327898345824171,0.0002261327378847702
1785119632467411621,1.148112,-9.801405446712674e-06,0.00013668220689691494,-0.00016006191169101128,0.000258868600927787,-0.0005051719882083372,5.7189370719291044e-05,0.0009742017103624572,0.00021055053561836425,0.001240268152289257,-4.831806530942277e-05
1785119632500752441,1.178757,2.8724343426222096e-05,0.00011817982367700503,-0.00020574625620539477,-6.994898994077638e-05,-0.0007354565795809323,-0.000251608197481953,0.00029872834948547317,6.515815525881228e-05,0.0009875273623893572,0.00013510714519958866
1785119632534092773,3.275024,1.5076177469175776e-05,0.00011192381927387779,-0.00019616593106106154,-0.00010585526647135501,0.0003697665117529927,9.681775583511531e-05,-0.0012010844649716582,5.783042539255803e-05,0.001065783601949291,0.00016368569186391306
1785119632567433350,2.091153,3.5857373008699265e-05,9.856767230670465e-05,-0.0002119536841803919,7.475589340897706e-05,8.274451488129018e-05,-0.0010003362278052186,0.00037749315119356446,0.000475788881522933,0.0012478925264166575,0.00040103298811395595
1785119632600777100,4.516099,2.8718425963035252e-05,8.318522380445346e-05,-0.00014744797472511774,-0.0001062783669415749,-0.00025627381353719416,-0.0006853353765046875,-0.00043058143102988315,0.0001787287355465585,0.0008671845499972661,0.0002850071024881334
1785119632634120605,1.307652,-1.2793415330769201e-05,8.758774262492488e-05,4.5041888237521605e-05,0.00011048274118020254,-0.0012062403590299706,-0.0010189674076070995,0.00270443825106582,0.00045180935703052316,0.003117878914030236,0.00034132661585032053
1785119632667464111,1.241801,2.4950345070986965e-05,9.305823055327416e-05,-2.3483767002561445e-05,0.0001448431519051163,-0.00026682652856774226,-0.0029501780469605395,0.00075453708969424,0.0011018622772319105,0.003154637417869405,0.0009570191253267942
